"Text","TC name","text ID","typ_ID","right visible:"," ","Level 0","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9","Level 10","Level 11","Level 12","Level 13","Level 14","Level 15","right active:","Level 0","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8","Level 9","Level 10","Level 11","Level 12","Level 13","Level 14","Level 15","state internal:","validation","protocol","PDA","signature required","operate at <> 0 degree","Force to format value","No safety check","phys. min","phys. max","read/write","Format"

Basic machine
"Switch Vacuum","BasicMachine_SWI_Vacuum",11067,"Schalter",421,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",-99999,999999,"rw","f"
"Switch Link-up","BasicMachine_SWI_LinkUp",11005,"Schalter",422,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",-99999,999999,"rw","f"
"Switch Serial error","BasicMachine_SWI_SerialError",11065,"Schalter",423,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",-99999,999999,"rw","f"
"Cam cycle stop","BasicMachine_CAM_CycleStop",10978,"Winkel",446,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"rw","f"
"Cam reserve","BasicMachine_CAM_Spare",10685,"Winkel",447,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"rw","f"
"Speed selection","Basic_CON_P_MachineSpeed",12231,"Config",3,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",23,"true","true","true","false","true","false","false",15,400,"w","f"
"Speed","BasicMachine_SET_Speed",12314,"Notiz",72,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",3,"true","true","false","false","false","false","false",-99999,999999,"rw","f"

Code reading
"Carton reference code","CodeCarton_Code_RefCode",19945,"Code",411,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",23,"true","true","true","false","true","false","false",-99999,999999,"rw","f"
"Carton actual code","CodeCarton_Code_ActCode",19935,"Code",412,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",20,"false","false","true","false","true","false","false",-99999,999999,"r",
"Leaflet 1 reference code","CodeLeafUnderside_RefCode",19947,"Code",413,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",23,"true","true","true","false","true","false","false",-99999,999999,"rw","f"
"Leaflet 1 actual code","CodeLeafUnderside_ActCode",19937,"Code",414,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",20,"false","false","true","false","true","false","false",-99999,999999,"r",
"Label reference code","CodeLabel_RefCode",19964,"Code",415,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",22,"false","true","true","false","true","false","false",-999999,999999,"rw","f"
"Label actualcode","CodeLabel_ActCode",19966,"Code",416,2076,"false","false","true","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",20,"false","false","true","false","true","false","false",-99999,999999,"r",
"Switch carton code","CodeCarton_SWI_Carton",12551,"Schalter",436,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",23,"true","true","true","false","true","false","false",-99999,999999,"rw","f"
"Carton codereader","CodeCarton_SWI_ON_OFF",19920,"Schalter",417,2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",2048,"false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false",23,"true","true","true","false","true","false","false",-99999,999999,"w","f"
"Switch leaflet code 1","CodeLeafUnderside_SWI_Leaflet",12552,"Schalter",433,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",23,"true","true","true","false","true","false","false",-99999,999999,"rw","f"
"Leaftlet code 1 codereader","CodeLeafUnderside_SWI_ON_OFF",64557,"Schalter",418,2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",2048,"false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false",23,"true","true","true","false","true","false","false",-99999,999999,"w","f"
"Switch Label code","CodeLabel_SWI_Label",15274,"Schalter",444,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",23,"true","true","true","false","true","false","false",-99999,999999,"rw","f"
"Label codereader","CodeLabel_SWI_ON_OFF",19968,"Schalter",419,2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",2048,"false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false",23,"true","true","true","false","true","false","false",-99999,999999,"w","f"
"Cam read release carton code","CodeCarton_CAM_ReadRelease",11073,"Winkel",461,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"rw","f"
"Cam read release label code","CodeLabel_CAM_ReadRelease",15275,"Winkel",468,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"rw","f"
"Cam code reader leaflet code 1","CodeLeafUnderside_CAM_ReadRelease",11074,"Winkel",457,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,99,"rw","f"
"Section carton code","CodeCarton_CON_SEC",15481,"Config",42,2072,"false","false","false","true","true","false","false","false","false","false","false","true","false","false","false","false",2064,"false","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false",19,"true","true","false","false","true","false","false",0,256,"rw","f"
